category_id,category_name,permission_id,permission_name
agent,Agent,agent.view,查看
agent,Agent,agent.create,建立
agent,Agent,agent.publish,發布
agent,Agent,agent.manage,管理
agent,Agent,agent.approve,審核
agent,Agent,agent.guardrail,資料護欄
agent,Agent,agent.audit_log,稽核日誌
knowledge_base,知識庫,kb.view,查看
knowledge_base,知識庫,kb.edit_document,新增/編輯文件
knowledge_base,知識庫,kb.delete,刪除
knowledge_base,知識庫,kb.manage_collaborators,邀請/移除共編人員
knowledge_base,知識庫,kb.publish,發布
knowledge_base,知識庫,kb.audit_log,查看稽核紀錄
mcp,MCP,mcp.create,新增
mcp,MCP,mcp.manage,管理
mcp,MCP,mcp.approve,審核
access,權限管理,access.feature_manage,功能管理
access,權限管理,access.account_manage,帳號管理
access,權限管理,access.system_settings,系統設定
credential,憑證管理,credential.request,申請存取憑證
credential,憑證管理,credential.manage,憑證管理
activity,帳戶活動管理,activity.view,活動紀錄查詢
analytics,統計中心,analytics.dashboard,營運儀錶板
